p cnf 12 132
1 -1 -1 0
1 -1 -2 0
1 2 -1 0
1 2 -2 0
1 -3 -1 0
1 -3 -2 0
-2 -1 -1 0
-2 -1 -2 0
-2 2 -1 0
-2 2 -2 0
-2 -3 -1 0
-2 -3 -2 0
-3 -1 -1 0
-3 -1 -2 0
-3 2 -1 0
-3 2 -2 0
-3 -3 -1 0
-3 -3 -2 0
1 -1 3 0
1 2 3 0
1 -3 3 0
-2 -1 3 0
-2 2 3 0
-2 -3 3 0
-3 -1 3 0
-3 2 3 0
-3 -3 3 0
4 -4 -4 0
4 -4 -5 0
4 5 -4 0
4 5 -5 0
4 -6 -4 0
4 -6 -5 0
-5 -4 -4 0
-5 -4 -5 0
-5 5 -4 0
-5 5 -5 0
-5 -6 -4 0
-5 -6 -5 0
-6 -4 -4 0
-6 -4 -5 0
-6 5 -4 0
-6 5 -5 0
-6 -6 -4 0
-6 -6 -5 0
4 -4 6 0
4 5 6 0
4 -6 6 0
-5 -4 6 0
-5 5 6 0
-5 -6 6 0
-6 -4 6 0
-6 5 6 0
-6 -6 6 0
7 -7 -7 0
7 -7 -8 0
7 8 -7 0
7 8 -8 0
7 -9 -7 0
7 -9 -8 0
-8 -7 -7 0
-8 -7 -8 0
-8 8 -7 0
-8 8 -8 0
-8 -9 -7 0
-8 -9 -8 0
-9 -7 -7 0
-9 -7 -8 0
-9 8 -7 0
-9 8 -8 0
-9 -9 -7 0
-9 -9 -8 0
7 -7 9 0
7 8 9 0
7 -9 9 0
-8 -7 9 0
-8 8 9 0
-8 -9 9 0
-9 -7 9 0
-9 8 9 0
-9 -9 9 0
10 -10 -10 0
10 -10 -11 0
10 11 -10 0
10 11 -11 0
10 -12 -10 0
10 -12 -11 0
-11 -10 -10 0
-11 -10 -11 0
-11 11 -10 0
-11 11 -11 0
-11 -12 -10 0
-11 -12 -11 0
-12 -10 -10 0
-12 -10 -11 0
-12 11 -10 0
-12 11 -11 0
-12 -12 -10 0
-12 -12 -11 0
10 -10 12 0
10 11 12 0
10 -12 12 0
-11 -10 12 0
-11 11 12 0
-11 -12 12 0
-12 -10 12 0
-12 11 12 0
-12 -12 12 0
1 2 3 0
1 -8 3 0
-7 2 3 0
-7 -8 3 0
1 2 -9 0
1 -8 -9 0
-7 2 -9 0
-7 -8 -9 0
1 2 3 0
1 -11 3 0
-10 2 3 0
-10 -11 3 0
1 2 -12 0
1 -11 -12 0
-10 2 -12 0
-10 -11 -12 0
7 8 9 0
7 -11 9 0
-10 8 9 0
-10 -11 9 0
7 8 -12 0
7 -11 -12 0
-10 8 -12 0
-10 -11 -12 0
